CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;22/02/2025;1;1,394;0;;R
ES0031102943943001EY0F;22/02/2025;2;0,281;0;;R
ES0031102943943001EY0F;22/02/2025;3;0,293;0;;R
ES0031102943943001EY0F;22/02/2025;4;0,285;0;;R
ES0031102943943001EY0F;22/02/2025;5;0,276;0;;R
ES0031102943943001EY0F;22/02/2025;6;0,283;0;;R
ES0031102943943001EY0F;22/02/2025;7;0,276;0;;R
ES0031102943943001EY0F;22/02/2025;8;0,279;0;;R
ES0031102943943001EY0F;22/02/2025;9;0,639;0;;R
ES0031102943943001EY0F;22/02/2025;10;1,795;0;;R
ES0031102943943001EY0F;22/02/2025;11;2,206;0;;R
ES0031102943943001EY0F;22/02/2025;12;1,111;0;;R
ES0031102943943001EY0F;22/02/2025;13;0;0,101;;R
ES0031102943943001EY0F;22/02/2025;14;0;1,295;;R
ES0031102943943001EY0F;22/02/2025;15;0;1,687;;R
ES0031102943943001EY0F;22/02/2025;16;0;1,929;;R
ES0031102943943001EY0F;22/02/2025;17;0;1,519;;R
ES0031102943943001EY0F;22/02/2025;18;0;0,818;;R
ES0031102943943001EY0F;22/02/2025;19;0,089;0;;R
ES0031102943943001EY0F;22/02/2025;20;0,461;0;;R
ES0031102943943001EY0F;22/02/2025;21;0,475;0;;R
ES0031102943943001EY0F;22/02/2025;22;1,654;0;;R
ES0031102943943001EY0F;22/02/2025;23;0,989;0;;R
ES0031102943943001EY0F;22/02/2025;24;1,212;0;;R
ES0031102943943001EY0F;23/02/2025;1;0,378;0;;R
ES0031102943943001EY0F;23/02/2025;2;0,225;0;;R
ES0031102943943001EY0F;23/02/2025;3;0,224;0;;R
ES0031102943943001EY0F;23/02/2025;4;0,209;0;;R
ES0031102943943001EY0F;23/02/2025;5;0,22;0;;R
ES0031102943943001EY0F;23/02/2025;6;0,218;0;;R
ES0031102943943001EY0F;23/02/2025;7;0,212;0;;R
ES0031102943943001EY0F;23/02/2025;8;0,612;0;;R
ES0031102943943001EY0F;23/02/2025;9;0,738;0;;R
ES0031102943943001EY0F;23/02/2025;10;0;0,875;;R
ES0031102943943001EY0F;23/02/2025;11;0;1,682;;R
ES0031102943943001EY0F;23/02/2025;12;0;1,29;;R
ES0031102943943001EY0F;23/02/2025;13;0;0,154;;R
ES0031102943943001EY0F;23/02/2025;14;0;1,075;;R
ES0031102943943001EY0F;23/02/2025;15;0;2,329;;R
ES0031102943943001EY0F;23/02/2025;16;0;2,087;;R
ES0031102943943001EY0F;23/02/2025;17;0;1,552;;R
ES0031102943943001EY0F;23/02/2025;18;0;0,597;;R
ES0031102943943001EY0F;23/02/2025;19;0,106;0;;R
ES0031102943943001EY0F;23/02/2025;20;0,723;0;;R
ES0031102943943001EY0F;23/02/2025;21;0,561;0;;R
ES0031102943943001EY0F;23/02/2025;22;0,557;0;;R
ES0031102943943001EY0F;23/02/2025;23;1,11;0;;R
ES0031102943943001EY0F;23/02/2025;24;1,227;0;;R
ES0031102943943001EY0F;24/02/2025;1;0,395;0;;R
ES0031102943943001EY0F;24/02/2025;2;0,281;0;;R
ES0031102943943001EY0F;24/02/2025;3;0,287;0;;R
ES0031102943943001EY0F;24/02/2025;4;0,279;0;;R
